variable_1,variable_2,weighted_correlation
program_income_full_va_weighted_centered,program_income_full_va_weighted_centered,1
program_income_full_va_weighted_centered,math_va_weighted_centered,0.512650922448644
program_income_full_va_weighted_centered,institution_income_va_weighted_centered,0.854822542659163
program_income_full_va_weighted_centered,area_income_va_weighted_centered,0.937778040436037
program_income_full_va_weighted_centered,math_va_orthogonalized,0.512650922448644
program_income_full_va_weighted_centered,institution_income_va_orthogonalized,0.715927455893721
program_income_full_va_weighted_centered,area_income_va_orthogonalized,0.41649804773028
math_va_weighted_centered,program_income_full_va_weighted_centered,0.512650922448644
math_va_weighted_centered,math_va_weighted_centered,1
math_va_weighted_centered,institution_income_va_weighted_centered,0.370098300331993
math_va_weighted_centered,area_income_va_weighted_centered,0.418352077437936
math_va_weighted_centered,math_va_orthogonalized,1
math_va_weighted_centered,institution_income_va_orthogonalized,-4.69506708538576e-16
math_va_weighted_centered,area_income_va_orthogonalized,-1.24867038620143e-15
institution_income_va_weighted_centered,program_income_full_va_weighted_centered,0.854822542659163
institution_income_va_weighted_centered,math_va_weighted_centered,0.370098300331993
institution_income_va_weighted_centered,institution_income_va_weighted_centered,1
institution_income_va_weighted_centered,area_income_va_weighted_centered,0.739416396368517
institution_income_va_weighted_centered,math_va_orthogonalized,0.370098300331993
institution_income_va_weighted_centered,institution_income_va_orthogonalized,0.928992598512695
institution_income_va_weighted_centered,area_income_va_orthogonalized,-3.75339751595385e-17
area_income_va_weighted_centered,program_income_full_va_weighted_centered,0.937778040436037
area_income_va_weighted_centered,math_va_weighted_centered,0.418352077437936
area_income_va_weighted_centered,institution_income_va_weighted_centered,0.739416396368517
area_income_va_weighted_centered,area_income_va_weighted_centered,1
area_income_va_weighted_centered,math_va_orthogonalized,0.418352077437936
area_income_va_weighted_centered,institution_income_va_orthogonalized,0.629267665322944
area_income_va_weighted_centered,area_income_va_orthogonalized,0.654983774365728
math_va_orthogonalized,program_income_full_va_weighted_centered,0.512650922448644
math_va_orthogonalized,math_va_weighted_centered,1
math_va_orthogonalized,institution_income_va_weighted_centered,0.370098300331993
math_va_orthogonalized,area_income_va_weighted_centered,0.418352077437936
math_va_orthogonalized,math_va_orthogonalized,1
math_va_orthogonalized,institution_income_va_orthogonalized,-4.69506708538576e-16
math_va_orthogonalized,area_income_va_orthogonalized,-1.24867038620143e-15
institution_income_va_orthogonalized,program_income_full_va_weighted_centered,0.715927455893721
institution_income_va_orthogonalized,math_va_weighted_centered,-4.70893868232478e-16
institution_income_va_orthogonalized,institution_income_va_weighted_centered,0.928992598512695
institution_income_va_orthogonalized,area_income_va_weighted_centered,0.629267665322944
institution_income_va_orthogonalized,math_va_orthogonalized,-4.70893868232478e-16
institution_income_va_orthogonalized,institution_income_va_orthogonalized,1
institution_income_va_orthogonalized,area_income_va_orthogonalized,4.53996477457326e-16
area_income_va_orthogonalized,program_income_full_va_weighted_centered,0.41649804773028
area_income_va_orthogonalized,math_va_weighted_centered,-1.24801098846188e-15
area_income_va_orthogonalized,institution_income_va_weighted_centered,-4.00350674990054e-17
area_income_va_orthogonalized,area_income_va_weighted_centered,0.654983774365728
area_income_va_orthogonalized,math_va_orthogonalized,-1.24801098846188e-15
area_income_va_orthogonalized,institution_income_va_orthogonalized,4.56207238846697e-16
area_income_va_orthogonalized,area_income_va_orthogonalized,1
