measure,value
universe_rows,944360
probability_student_process_rows,419297
estimation_rows_timely_at_risk,163600
estimation_rows_exam_takers_timely_at_risk,106374
mean_total_probability_mass,1
mean_mass_with_value_math_adj_eb,0.865149046454768
mean_mass_with_value_leng_adj_eb,0.865149046454768
mean_mass_with_value_exam_adj_eb,0.865427377750611
mean_mass_with_value_highered_adj_eb,0.865427377750611
mean_mass_with_value_stem_adj_eb,0.865149046454768
mean_mass_with_value_program_income_adj_eb,0.865149046454768
mean_mass_with_value_progcert_adj_eb,0.865149046454768
mean_mass_with_value_instcert_adj_eb,0.865149046454768
