endogenous_component,endogenous,instrument,beta,se,tstat,n_obs
math,d_program_income_full_math_component_adj_eb,z_program_income_full_math_component_adj_eb,0.443773603308885,0.00780378068908002,56.8664883073746,92958
math,d_program_income_full_math_component_adj_eb,z_program_income_full_area_component_adj_eb,0.00526527117737545,0.00149575671361366,3.52013875615832,92958
math,d_program_income_full_math_component_adj_eb,z_program_income_full_institution_component_adj_eb,0.0152977304248775,0.00729267305356166,2.09768493836512,92958
area,d_program_income_full_area_component_adj_eb,z_program_income_full_math_component_adj_eb,0.0156819816226684,0.0130610965696871,1.20066347714357,92958
area,d_program_income_full_area_component_adj_eb,z_program_income_full_area_component_adj_eb,0.462514900085449,0.00626205048323374,73.8599762687645,92958
area,d_program_income_full_area_component_adj_eb,z_program_income_full_institution_component_adj_eb,-0.104383063646367,0.0202673582091308,-5.1503043746146,92958
institution,d_program_income_full_institution_component_adj_eb,z_program_income_full_math_component_adj_eb,0.0159979051499629,0.00316262580348165,5.05842491146164,92958
institution,d_program_income_full_institution_component_adj_eb,z_program_income_full_area_component_adj_eb,-0.0108229286457011,0.00110583130135248,-9.78714260707226,92958
institution,d_program_income_full_institution_component_adj_eb,z_program_income_full_institution_component_adj_eb,0.329928489632304,0.00690708976109098,47.7666428328262,92958
