enrollment_measure,outcome_variant,income_source,n_students,n_matriculated,n_not_matriculated,n_strict_two_way_fe_matriculated,n_model_estimable_matriculated,n_missing_after_rule,share_missing_after_rule,mean_income_clp,median_income_clp
first_enrollment,strict_two_way_fe_or_minwage,matriculated_fe_institution_area_generica,439892,439892,0,439892,439892,0,0,1565469.04794123,1426070.41114077
first_enrollment,strict_two_way_fe_or_minwage,not_matriculated_minimum_wage_floor,317948,0,317948,0,0,0,0,553553,553553
first_enrollment,strict_two_way_fe_or_minwage,matriculated_missing_fe_income,186520,186520,0,0,0,186520,1,,
first_enrollment,program_income_area,matriculated_area_generica_fe,585910,585910,0,439892,585910,0,0,1483631.58309009,1381581.98130967
first_enrollment,program_income_area,not_matriculated_minimum_wage_floor,317948,0,317948,0,0,0,0,553553,553553
first_enrollment,program_income_area,matriculated_area_generica_global_mifuturo_mean,40502,40502,0,0,0,0,0,1443832.59911894,1443832.59911894
first_enrollment,program_income_institution,matriculated_institution_fe,473346,473346,0,439892,473346,0,0,1510050.51322083,1595374.62639613
first_enrollment,program_income_institution,not_matriculated_minimum_wage_floor,317948,0,317948,0,0,0,0,553553,553553
first_enrollment,program_income_institution,matriculated_institution_global_mifuturo_mean,153066,153066,0,0,0,0,0,1443832.59911894,1443832.59911894
first_enrollment,program_income_full,matriculated_two_way_fe_institution_area_generica,439892,439892,0,439892,439892,0,0,1565469.04794123,1426070.41114077
first_enrollment,program_income_full,not_matriculated_minimum_wage_floor,317948,0,317948,0,0,0,0,553553,553553
first_enrollment,program_income_full,matriculated_fallback_area_generica_fe,146018,146018,0,0,146018,0,0,1251407.12583049,1252025.70600038
first_enrollment,program_income_full,matriculated_fallback_institution_fe,33442,33442,0,0,33442,0,0,1648395.59687956,1643073.16398989
first_enrollment,program_income_full,matriculated_fallback_global_mifuturo_mean,7060,7060,0,0,0,0,0,1443832.59911894,1443832.59911894
last_enrollment,strict_two_way_fe_or_minwage,matriculated_fe_institution_area_generica,436414,436414,0,436414,436414,0,0,1553844.30764788,1395422.14622551
last_enrollment,strict_two_way_fe_or_minwage,not_matriculated_minimum_wage_floor,317948,0,317948,0,0,0,0,553553,553553
last_enrollment,strict_two_way_fe_or_minwage,matriculated_missing_fe_income,189998,189998,0,0,0,189998,1,,
last_enrollment,program_income_area,matriculated_area_generica_fe,588976,588976,0,436414,588976,0,0,1472462.8111846,1350470.33989289
last_enrollment,program_income_area,not_matriculated_minimum_wage_floor,317948,0,317948,0,0,0,0,553553,553553
last_enrollment,program_income_area,matriculated_area_generica_global_mifuturo_mean,37436,37436,0,0,0,0,0,1443832.59911894,1443832.59911894
last_enrollment,program_income_institution,matriculated_institution_fe,466618,466618,0,436414,466618,0,0,1502400.40293692,1567846.62593857
last_enrollment,program_income_institution,not_matriculated_minimum_wage_floor,317948,0,317948,0,0,0,0,553553,553553
last_enrollment,program_income_institution,matriculated_institution_global_mifuturo_mean,159794,159794,0,0,0,0,0,1443832.59911894,1443832.59911894
last_enrollment,program_income_full,matriculated_two_way_fe_institution_area_generica,436414,436414,0,436414,436414,0,0,1553844.30764788,1395422.14622551
last_enrollment,program_income_full,not_matriculated_minimum_wage_floor,317948,0,317948,0,0,0,0,553553,553553
last_enrollment,program_income_full,matriculated_fallback_area_generica_fe,152562,152562,0,0,152562,0,0,1253872.46765452,1252025.70600038
last_enrollment,program_income_full,matriculated_fallback_institution_fe,30187,30187,0,0,30187,0,0,1641774.49867745,1643073.16398989
last_enrollment,program_income_full,matriculated_fallback_global_mifuturo_mean,7249,7249,0,0,0,0,0,1443832.59911894,1443832.59911894
